ma_san_pham,hinh_anh
365000014,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-365000014-1700817547_img_380x380_64adc6_fit_center.png
100150058,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-xit-khoang-cung-cap-nuoc-evoluderm-400ml-1698049952_img_380x380_64adc6_fit_center.jpg
422218631,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-combo-2-sua-rua-mat-cetaphil-diu-lanh-cho-da-nhay-cam-125ml-moi-1709886846_img_380x380_64adc6_fit_center.jpg
422217972,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422217972-1725431767_img_380x380_64adc6_fit_center.jpg
422207413,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-tinh-chat-chong-nang-sunplay-hieu-chinh-sac-da-50g-cam_BPkuRrqcxSq2QxHK_img_380x380_64adc6_fit_center.png
223600040,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-223600040-1698745831_img_380x380_64adc6_fit_center.jpg
422203809,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-combo-3-bong-tay-trang-ipek-150-mieng-1723264426_img_380x380_64adc6_fit_center.jpg
204100003,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-chong-nang-eucerin-giup-kiem-soat-nhon-spf-50-uvb-uva-50ml_xQtnfNG6KFseAcjU_img_380x380_64adc6_fit_center.png
206200079,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-rua-mat-cho-nam-nivea-than-hoat-tinh-giam-nhon-sang-da-100g-1713760131_img_380x380_64adc6_fit_center.jpg
422216487,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-2-sua-rua-mat-vichy-dang-gel-lam-sach-sau-da-dau-mun-50ml_T4DLZYETzabV3YkQ_img_380x380_64adc6_fit_center.png
245500001,
200500283,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-200500283-1694422051_img_380x380_64adc6_fit_center.png
223600017,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-223600017-1698803917_img_380x380_64adc6_fit_center.jpg
253900007,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-253900007-1695978531_img_380x380_64adc6_fit_center.jpg
205100137,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-205100137-1695896128_img_380x380_64adc6_fit_center.png
422203617,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422203617-1695284825_img_380x380_64adc6_fit_center.png
422206042,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422206042-1695111105_img_380x380_64adc6_fit_center.png
422207148,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-mat-na-banobagi-duong-sang-va-cham-soc-da-mun-30g_ZGkGeutLxRv3bGP9_img_380x380_64adc6_fit_center.png
422205635,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-mat-na-duong-da-some-by-mi-tram-tra-lam-diu-da-mun-20g-1711354410_img_380x380_64adc6_fit_center.jpg
422212871,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422212871-1732594596_img_380x380_64adc6_fit_center.jpg
211300005,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-211300005-1731657239_img_380x380_64adc6_fit_center.jpg
318900005,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-318900005-1730429318_img_380x380_64adc6_fit_center.jpg
204100013,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-duong-am-eucerin-danh-cho-da-kho-da-nhay-cam-50ml_xSmzjM6DGgn3ZiY7_img_380x380_64adc6_fit_center.png
248700076,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-248700076-1728983384_img_380x380_64adc6_fit_center.jpg
422207812,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422207812-1689924321_img_380x380_64adc6_fit_center.jpg
249500013,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-chong-nang-sunplay-duong-da-sang-min-spf50-pa-25g_hkFBJaQbRHe753Y3_img_380x380_64adc6_fit_center.png
422200306,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-duong-am-neutrogena-cung-cap-nuoc-cho-da-50g_qnXC4SEikpHesimf_img_380x380_64adc6_fit_center.png
345800008,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-345800008-1697784314_img_380x380_64adc6_fit_center.png
422216416,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-combo-2-kem-chong-nang-la-roche-posay-kiem-soat-dau-spf50-50ml-1721360182_img_380x380_64adc6_fit_center.jpg
422220469,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-2-kem-duong-am-neutrogena-cap-nuoc-cho-da-dau-50g_2JPvyNWRBWhBtXx1_img_380x380_64adc6_fit_center.png
422209663,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-2-kem-duong-am-neutrogena-cap-nuoc-cho-da-dau-15g_KZVz8xhM1yt8pHe2_img_380x380_64adc6_fit_center.png
422206043,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422206043-1695111163_img_380x380_64adc6_fit_center.png
223600034,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-tinh-chat-chong-nang-dang-essence-senka-spf50-pa-50g_fHjbMmBuS79QVUzY_img_380x380_64adc6_fit_center.png
422209094,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-tinh-chat-the-lab-duong-am-chuyen-sau-cho-da-30ml-1719911588_img_380x380_64adc6_fit_center.jpg
204900010,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-nuoc-tay-trang-la-roche-posay-danh-cho-da-dau-da-nhay-cam-200ml-1716608783_img_380x380_64adc6_fit_center.jpg
249500021,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-chong-nang-sunplay-hieu-chinh-sac-da-50g-tim-1711598898_img_380x380_64adc6_fit_center.jpg
211300002,https://media.hcdn.vn/catalog/product/f/a/facebookdynamic-nuoc-hoa-hong-simple-danh-cho-da-nhay-cam-200ml-1719903361_img_380x380_64adc6_fit_center.jpg
365000020,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-365000020-1700819423_img_380x380_64adc6_fit_center.png
422211489,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422211489-1698739787_img_380x380_64adc6_fit_center.jpg
248700062,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-248700062-1729046604_img_380x380_64adc6_fit_center.jpg
245500002,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-tay-te-bao-chet-rosette-cho-cho-da-kho-120g-1705569169_img_380x380_64adc6_fit_center.jpg
422218099,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422218099-1725431500_img_380x380_64adc6_fit_center.jpg
422211447,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-2-nuoc-tay-trang-l-oreal-lam-sach-va-cap-am-400ml_fcqehXsh3pgVaB5V_img_380x380_64adc6_fit_center.png
249500007,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-249500007-1728878978_img_380x380_64adc6_fit_center.jpg
217300001,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-217300001-1730176882_img_380x380_64adc6_fit_center.jpg
371600006,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-tinh-chat-balance-active-formula-vitamin-c-sang-da-30ml_ERkkUiKPx8DHtQk5_img_380x380_64adc6_fit_center.png
